NAME,median_household_income,per_capita_income,population_below_poverty,poverty_universe,median_property_value,median_gross_rent,unemployed,labor_force,total_population,pop_white_alone,pop_black_alone,pop_aian_alone,pop_asian_alone,pop_nhpi_alone,pop_other_alone,pop_two_or_more_races,pop_hispanic_latino,education_universe,edu_high_school_diploma,edu_ged,edu_some_college_lt1yr,edu_some_college_gt1yr,edu_associates,edu_bachelors,edu_masters,edu_professional,edu_doctorate,state,county,tract,GEOID,poverty_rate,unemployment_rate,pct_white,pct_black,pct_asian,pct_hispanic,pct_bachelors_plus,pct_no_hs
Census Tract 101; Cook County; Illinois,74145,45573,545,4097,340700,1168,182,2923,4198,1692,1636,0,140,0,204,526,645,3169,617,103,0,450,354,739,519,80,113,17,031,010100,17031010100,0.13302416402245545,0.06226479644201163,0.4030490709861839,0.38970938542162936,0.03334921391138637,0.15364459266317293,0.45787314610287155,0.06121804985799939
Census Tract 102.01; Cook County; Illinois,63056,31992,1816,7352,239900,1378,480,4382,7361,1444,2226,39,354,0,2042,1256,3137,4678,872,329,175,546,238,584,685,193,85,17,031,010201,17031010201,0.2470076169749728,0.10953902327704244,0.19616899877734004,0.30240456459720144,0.04809129194402934,0.4261649232441244,0.3306968790081231,0.20756733646857628
Census Tract 102.02; Cook County; Illinois,53220,42710,571,2194,338000,1323,147,1396,2482,863,664,20,221,0,274,440,656,1985,304,59,143,215,85,630,209,34,55,17,031,010202,17031010202,0.26025524156791247,0.10530085959885387,0.3477034649476229,0.26752618855761484,0.08904109589041095,0.26430298146655923,0.46750629722921916,0.12644836272040305
Census Tract 103; Cook County; Illinois,73105,43852,741,5516,248500,1431,237,3951,6477,3461,1107,115,571,0,854,369,1588,5375,706,234,293,542,424,1622,623,136,287,17,031,010300,17031010300,0.13433647570703408,0.05998481397114654,0.534352323606608,0.17091245947197778,0.08815809788482322,0.2451752354485101,0.4963720930232558,0.09451162790697676
Census Tract 104; Cook County; Illinois,54083,36728,341,3108,231100,1347,75,2457,4545,3402,290,0,500,0,40,313,255,2671,218,19,127,462,88,1073,390,124,65,17,031,010400,17031010400,0.10971685971685971,0.030525030525030524,0.7485148514851485,0.0638063806380638,0.11001100110011001,0.056105610561056105,0.6184949457132161,0.0393111194309248
Census Tract 105.01; Cook County; Illinois,48833,45408,596,3718,400300,1195,133,2768,3718,2337,585,44,257,0,358,137,496,3045,184,26,276,213,182,1158,602,0,199,17,031,010501,17031010501,0.16030123722431414,0.04804913294797688,0.6285637439483593,0.15734265734265734,0.06912318450779989,0.13340505648197956,0.6433497536945813,0.0673234811165846
Census Tract 105.02; Cook County; Illinois,63125,41263,566,3095,296100,1383,159,2204,3286,2112,342,2,194,0,210,426,326,2111,99,46,88,97,69,847,575,37,124,17,031,010502,17031010502,0.18287560581583198,0.0721415607985481,0.642726719415703,0.10407790626902008,0.05903834449178332,0.09920876445526476,0.7498815727143534,0.06110847939365227
Census Tract 105.03; Cook County; Illinois,32443,28555,1151,2757,431800,1273,21,1518,2757,1636,530,0,290,0,47,254,102,1544,195,43,74,36,199,503,231,10,116,17,031,010503,17031010503,0.4174827711280377,0.01383399209486166,0.593398621690243,0.19223793978962642,0.10518679724338048,0.036996735582154515,0.5569948186528497,0.08873056994818651
Census Tract 106; Cook County; Illinois,72500,43955,1028,6295,232100,1556,251,4444,6467,3911,1082,109,284,0,313,768,876,5044,484,92,323,423,297,1972,817,131,217,17,031,010600,17031010600,0.16330420969023035,0.05648064806480648,0.6047626411009742,0.1673109633524045,0.04391526209989176,0.1354569352095253,0.6219270420301348,0.05709754163362413
Census Tract 107.01; Cook County; Illinois,74813,57217,359,3478,367200,1390,79,2134,3478,1275,806,84,230,0,625,458,1199,2609,199,32,137,124,198,947,503,21,45,17,031,010701,17031010701,0.10322024151811386,0.037019681349578254,0.36658999424956873,0.23174238067855088,0.06612995974698102,0.34473835537665326,0.5810655423533921,0.15446531238022232
Census Tract 107.02; Cook County; Illinois,61724,32790,682,4732,230600,1415,260,2759,4739,1437,1754,98,50,0,688,712,1577,3034,334,47,93,294,185,1020,334,0,69,17,031,010702,17031010702,0.1441251056635672,0.09423704240666908,0.303228529225575,0.3701202785397763,0.010550749103186326,0.33277062671449675,0.46901779828609097,0.21687541199736327
