Unnamed: 0,id,permit_,permit_type,application_start_date,issue_date,street_number,street_name,work_type,work_description,subtotal_waived,total_fee,census_tract,ward,xcoordinate,ycoordinate,issue_year,issue_month,issue_day,is_solar,is_flood
24,1013944,B000124021,PERMIT – EXPRESS PERMIT PROGRAM,2002-09-04T00:00:00.000,2007-07-07T00:00:00.000,2135.0,KILBOURN AVE,Electrical Work,ELECTRICAL SERVICE FOR CTA TRAIN CONTROL SYSTEM BUNGALOW.,0.0,150.0,292500.0,24.0,1146762.5884953467,1889298.6259081063,2007,7,7,0,1
99,1109504,B000145947,PERMIT – EXPRESS PERMIT PROGRAM,2003-03-15T00:00:00.000,2007-07-07T00:00:00.000,147.0,47TH ST,Electrical Work,TEMPORARY OFFICE TRAINER CONNECTION,0.0,40.0,370300.0,20.0,1176002.3528886205,1873801.518607514,2007,7,7,0,1
3085,1624782,100079046,PERMIT - RENOVATION/ALTERATION,2005-11-16T00:00:00.000,2006-03-28T00:00:00.000,7750.0,HASKINS AVE,,REPLACE/UPGRADE EXISTING TRAIN WASHER SYSTEM AS PER PLANS.,0.0,4748.0,,,1163056.7475471676,1951384.6054334957,2006,3,28,0,1
5147,1639030,100087675,PERMIT - RENOVATION/ALTERATION,2006-01-05T00:00:00.000,2006-01-05T00:00:00.000,180.0,LA SALLE ST,,"INTERIOR ALTERATIONS TO EXISTING 8TH FLOOR OFFICE SPACE (FOR NEW TRAINING ROOM) PER PLANS.                                                       -NO STRUCTURAL WORK, NO NEW MECHANICAL WORK, NO PLUMBING WORK, MINOR ELECTRICAL WORK.                                                                                                                              (CONDITIONAL PERMIT, SUBJECT TO FIELD VERIFICATION).",0.0,445.0,,,1175064.8760556693,1901624.9677321224,2006,1,5,0,1
7494,1644549,100091054,PERMIT - RENOVATION/ALTERATION,2006-01-20T00:00:00.000,2006-02-06T00:00:00.000,6921.0,KENWOOD AVE,,REPLACE FLOOR HATCH AND CONCRETE FLOOR INFILL AND ROOF DRAIN LEAK CONTAINMENT PANS. AS PER PLANS.,0.0,495.0,,,1186417.032795732,1859375.3200179555,2006,2,6,0,1
7650,1644990,100091309,PERMIT - RENOVATION/ALTERATION,2006-01-23T00:00:00.000,2006-04-12T00:00:00.000,10.0,35TH ST,,"REPLACEMENT OF EXISTING PLAZA TOPPING SLAB, WATERPROOF MEMBRANE AND DRAINAGE SYSTEM. NEW SITE LIGHTING AND PLANTERS. JOB INCLUDES DEMO AND REPLACE OUTSIDE MACHINE SHED AS PER PLAN",16860.0,16860.0,,,1176749.9009340925,1881839.3588424933,2006,4,12,0,1
7885,1645711,100091655,PERMIT - SIGNS,2006-01-24T00:00:00.000,2006-01-24T00:00:00.000,840.0,IRVING PARK RD,,SOUTH BUILDING ELEVATION ILLUMINATED BY 4 FLOOD LITES  386564,0.0,467.5,,,1169802.499889528,1926801.7522837848,2006,1,24,0,1
7889,1645718,100091659,PERMIT - SIGNS,2006-01-24T00:00:00.000,2006-01-24T00:00:00.000,840.0,IRVING PARK RD,,NORTH BUILDING ELEVATION EXTERNAL FLOOD ILLUMINATION  386565,0.0,467.5,,,1169802.499889528,1926801.7522837848,2006,1,24,0,1
8497,1646933,100092487,PERMIT - EASY PERMIT PROCESS,2006-01-27T00:00:00.000,2006-01-30T00:00:00.000,6334.0,CLARK ST,,REMOVAL OF PVC FLOOR DRAINS IN BASEMENT AND INSTALLATION OF CAST IRON FLOOR DRAINS ACCORDING TO CODE.,0.0,70.0,,,1164411.0849635378,1942330.093081185,2006,1,30,0,1
10195,1650919,100094954,PERMIT - EASY PERMIT PROCESS,2006-02-08T00:00:00.000,2006-02-08T00:00:00.000,1843.0,54TH ST,,CONNECT TWO KITCHEN DRAIN LINES TO EXISTING STACK PER CODE.,0.0,70.0,,,1164804.176959714,1868840.28202374,2006,2,8,0,1
11242,1653023,100096249,PERMIT - EASY PERMIT PROCESS,2006-02-15T00:00:00.000,2006-02-15T00:00:00.000,1617.0,55TH ST,,REPACE 7 PLUMBING FIXTURES AND 2 FLOOR DRAIN ALL IN SAME LOCATION.,0.0,145.0,,,1187779.2672751057,1868801.8844664104,2006,2,15,0,1
11288,1653102,100096324,PERMIT - EASY PERMIT PROCESS,2006-02-15T00:00:00.000,2006-02-15T00:00:00.000,6703.0,CLARK ST,,"INSTALL FLOOR DRAIN, NEW MOP BASIN WITH FAUCET",0.0,140.0,,,1163897.7288931466,1944612.206694804,2006,2,15,0,1
12657,1656151,100098287,PERMIT - RENOVATION/ALTERATION,2006-02-27T00:00:00.000,2006-04-14T00:00:00.000,5439.0,BROADWAY,,"INTERIOR BUILDOUT OF AN OFFICE TO INCLUDE NEW INTERIOR WALLS, NEW LIGHTING , NEW OUTLETS, NEW FLOOR FLOOR DRAIN, NEW SINK.",0.0,940.0,,,1167364.9326693094,1936437.88323716,2006,4,14,0,1
