Unnamed: 0,id,permit_,permit_type,application_start_date,issue_date,street_number,street_name,work_type,work_description,subtotal_waived,total_fee,census_tract,ward,xcoordinate,ycoordinate,issue_year,issue_month,issue_day,is_solar,is_flood,is_green
1502,1402003,B100018609,PERMIT – EXPRESS PERMIT PROGRAM,2004-11-29T00:00:00.000,2008-06-12T00:00:00.000,1717.0,TAYLOR ST,Electrical Work,"INSTALLATION OF LOW VOLTAGE CCTV EQUIPMENT AT THE STEAM PLANT, BUILDING 921.",0.0,40.0,283000.0,27.0,1164985.7464222105,1895589.748531639,2008,06,12,0,0,1
7114,1643483,B100090479,PERMIT – EXPRESS PERMIT PROGRAM,2006-01-18T00:00:00.000,2006-01-19T00:00:00.000,1909.0,CLIFTON AVE,Monthly Maintenance Permit,GENERAL MAINTENANCE OF PLANT LIGHTING AND DEVICES FOR JANUARY 2006,0.0,40.0,72000.0,32.0,1167904.9108260272,1912466.0961525952,2006,01,19,0,0,1
7650,1644990,100091309,PERMIT - RENOVATION/ALTERATION,2006-01-23T00:00:00.000,2006-04-12T00:00:00.000,10.0,35TH ST,,"REPLACEMENT OF EXISTING PLAZA TOPPING SLAB, WATERPROOF MEMBRANE AND DRAINAGE SYSTEM. NEW SITE LIGHTING AND PLANTERS. JOB INCLUDES DEMO AND REPLACE OUTSIDE MACHINE SHED AS PER PLAN",16860.0,16860.0,,,1176749.9009340925,1881839.3588424933,2006,04,12,0,1,1
11698,1653927,100096857,PERMIT - SIGNS,2006-02-17T00:00:00.000,2006-02-17T00:00:00.000,1601.0,BELMONT AVE,,IN PARKING PLANTER SOUTH OF BUILDING  FACING EAST   386783,0.0,145.5,,,1165055.070235965,1921275.5007928296,2006,02,17,0,0,1
13385,1657799,100099352,PERMIT - RENOVATION/ALTERATION,2006-03-03T00:00:00.000,2006-03-03T00:00:00.000,211.0,CLINTON ST,,"RENOVATION AND RESTORATION OF AN EXISTING MASONRY AND STEEL HEATING PLANT TO MIXED USE MERCANTILE, COMMERCIAL AND PARKING GARAGE REVISION TO PERMIT #1048888",102679.5,102679.5,,,1172724.767888465,1901834.538929095,2006,03,03,0,0,1
15002,1661414,100101573,PERMIT - RENOVATION/ALTERATION,2006-03-14T00:00:00.000,2006-03-14T00:00:00.000,1243.0,CORNELIA AVE,,REVISION TO PERMIT NUMBER 100083016 TO REPLACE PROPOSED WOOD DECK WITH NON-COMBUSTIBLE TERRACE (CONCRETE SLAB ON MASONRY BEARING WALLS) WITH BASEMENT STORAGE ROOM UNDERNEATH. (ELECTRICAL FOR STORAGE ROOM COVERED UNDER PREVIOUS PERMITS).ADD PLANTER TO GARAGE ROOF.,0.0,349.8,,,1167204.8969187972,1923332.5381252824,2006,03,14,0,0,1
15363,1662236,100102083,PERMIT - RENOVATION/ALTERATION,2006-03-16T00:00:00.000,2006-06-06T00:00:00.000,4357.0,COTTAGE GROVE AVE,,STORE INTERIOR REMODELING TO TRANSFER LAUNDRY DROP-OFF OR PICK-UP TO GENERAL LAUNDRY CLEINING PLANT OR FACILITY.,0.0,1114.0,,,1182375.3599600804,1876065.5209822208,2006,06,06,0,0,1
15851,1663411,B100102767,PERMIT – EXPRESS PERMIT PROGRAM,2006-03-21T00:00:00.000,2006-04-03T00:00:00.000,400.0,RANDOLPH ST,Electrical Work,INSTALL A CIRCUIT FOR 3 GROUND LIGHTS AND 3 GFI OUTLETS IN A  PLANTER BOX,0.0,40.0,320100.0,42.0,1179242.6833303138,1901368.637636837,2006,04,03,0,0,1
17676,1667767,100105356,PERMIT - RENOVATION/ALTERATION,2006-04-03T00:00:00.000,2006-09-14T00:00:00.000,141.0,JACKSON BLVD,,"REMOVAL OF SIDEWALK VAULTS, INSTALLATION OF NEW SIDEWALKS, BOLLARDS, PLANTERS AND INTERIOR RENOVATIONS.",0.0,10789.87,,,1175228.522349154,1898922.7429636095,2006,09,14,0,0,1
18471,1669749,100106567,PERMIT - RENOVATION/ALTERATION,2006-04-10T00:00:00.000,2006-05-25T00:00:00.000,1134.0,BARRY AVE,,"INTERIOR ALTERATIONS AS PER PLANS: NEW ELECTRIC SERVICE, MECHANICAL AND PLUMBING UPGRADES, NEW WATER SERVICE AND NEW TREE PLANTINGS.",0.0,4889.0,,,1168036.6203884769,1920773.457750884,2006,05,25,0,0,1
