Unnamed: 0,id,permit_,permit_type,application_start_date,issue_date,street_number,street_name,work_type,work_description,subtotal_waived,total_fee,census_tract,ward,xcoordinate,ycoordinate,issue_year,issue_month,issue_day,is_solar,is_flood
1915,1584516,100058292,PERMIT - RENOVATION/ALTERATION,2005-07-25T00:00:00.000,2006-05-23T00:00:00.000,6424.0,LEHIGH AVE,,INSTALL SOLAR THERMAL COLLECTORS ON EXISTING ROOF AND INTERFACE WITH EXISTING DOMESTIC HOT WATER SYSTEM,0.0,755.0,,,1138380.1107388374,1942399.4990426216,2006,5,23,1,0
1916,1584531,100058301,PERMIT - RENOVATION/ALTERATION,2005-07-25T00:00:00.000,2006-05-23T00:00:00.000,412.0,KEDZIE AVE,,INSTALL SOLAR THERMAL COLLECTORS ON EXISTING ROOF AND INTERFACE WITH EXISTING DOMESTIC HOT WATER SYSTEM,0.0,755.0,,,1154929.1390645767,1902651.444938982,2006,5,23,1,0
1917,1584539,100058307,PERMIT - RENOVATION/ALTERATION,2006-05-23T00:00:00.000,2006-05-31T00:00:00.000,5343.0,CUMBERLAND AVE,,INSTALL SOLAR THERMAL COLLECTORS ON EXISTING ROOF AND INTERFACE WITH EXISTING DOMESTIC HOT WATER SYSTEM,0.0,755.0,,,1119353.9147450835,1934541.8553683711,2006,5,31,1,0
1919,1584548,100058314,PERMIT - RENOVATION/ALTERATION,2005-07-25T00:00:00.000,2006-05-23T00:00:00.000,5801.0,PULASKI RD,,INSTALL GROUND-MOUNTED SOLAR THERMAL COLLECTORS AND INTERFACE WITH EXISTING DOMESTIC HOT WATER SYSTEM,0.0,2005.0,,,1148723.5010362945,1938044.2365664504,2006,5,23,1,0
2028,1593772,100063060,PERMIT - RENOVATION/ALTERATION,2005-08-15T00:00:00.000,2006-05-23T00:00:00.000,3801.0,DAMEN AVE,,INSTALL ROOF-MOUNTED SOLAR THERMAL COLLECTORS AND INTERFACE WITH EXISTING DOMESTIC HOT WATER SYSTEM,0.0,845.0,,,1162377.861332957,1925253.4598606797,2006,5,23,1,0
2029,1593775,100063061,PERMIT - RENOVATION/ALTERATION,2005-08-15T00:00:00.000,2006-05-23T00:00:00.000,6117.0,KEDZIE AVE,,INSTALL ROOF-MOUNTED SOLAR THERMAL COLLECTORS AND INTERFACE WITH EXISTING DOMESTIC HOT WATER SYSTEM.,0.0,845.0,,,1153947.0025146748,1940858.217865313,2006,5,23,1,0
3399,1628624,100081218,PERMIT - RENOVATION/ALTERATION,2005-11-30T00:00:00.000,2006-11-20T00:00:00.000,1767.0,79TH ST,,INSTALL ROOF-MOUNTED SOLAR THERMAL COLLECTORS AND INTERFACE WITH EXISTING DOMESTIC HOT WATER SYSTEM PER PLANS.,0.0,1055.0,,,1189564.3506566074,1852911.547142994,2006,11,20,1,0
3400,1628625,100081219,PERMIT - RENOVATION/ALTERATION,2005-11-30T00:00:00.000,2006-11-09T00:00:00.000,2255.0,103RD ST,,INSTALL ROOF-MOUNTED SOLAR THERMAL COLLECTORS AND INTERFACE WITH EXISTING DOMESTIC HOT WATER SYSTEM PER PLANS.,0.0,2172.0,,,1193131.2988313767,1837090.2645795292,2006,11,9,1,0
3401,1628626,100081220,PERMIT - RENOVATION/ALTERATION,2005-11-30T00:00:00.000,2006-08-03T00:00:00.000,1900.0,MONTEREY AVE,,INSTALL ROOF-MOUNTED SOLAR THERMAL COLLECTORS AND INTERFACE WITH EXISTING DOMESTIC HOT WATER SYSTEM PER PLANS.,0.0,2002.0,,,1165825.4762151537,1830851.3332749873,2006,8,3,1,0
12133,1654874,100097521,PERMIT - EASY PERMIT PROCESS,2006-02-22T00:00:00.000,2006-02-22T00:00:00.000,5248.0,LARNED AVE,,INSTALL NEW SOLAR HEAT WATER TANK - PER DEBBIE VALLONE AND BOB FALHSTROM NO PLANS OR ELECTRICAL APPL. ARE REQUIRED,0.0,40.0,,,1140056.1607901773,1934955.6023675555,2006,2,22,1,0
54452,1769182,100158120,PERMIT - RENOVATION/ALTERATION,2007-01-26T00:00:00.000,2007-05-30T00:00:00.000,635.0,GRACE ST,,INSTALL ROOF-MOUNTED SOLAR WATER HEATERS AND INTERFACE WITH EXISTING DOMESTIC HOT WATER SYSTEM PER PLANS.,0.0,1770.0,,,1171119.870953476,1925812.0867560192,2007,5,30,1,0
56653,1776342,100161643,PERMIT - RENOVATION/ALTERATION,2007-02-06T00:00:00.000,2007-02-23T00:00:00.000,3643.0,JANSSEN AVE,,INTERIOR RENOVATION & (5) NEW SOLAR PANEL TO SFR. AS PER PLANS - INCLUDING ELECTRICAL AND PLUMBING WORKINCLUDES ELECTRICAL WORK TO EXISTING GARAGE ROOF DECK,0.0,2135.0,,,1166027.028282434,1924469.71559568,2007,2,23,1,0
56828,1777051,100161952,PERMIT - EASY PERMIT PROCESS,2007-02-07T00:00:00.000,2007-02-07T00:00:00.000,9751.0,HAMILTON AVE,,INSTALLATION OF SOLAR WATER HEATER AND PHOTOVOLTAIC GRID DEDICATED SYSTEM ON ROOF OF EXISTING SINGLE FAMILY RESIDENCE.,0.0,210.0,,,1163794.2849612618,1839745.940381804,2007,2,7,1,0
62711,1794555,100170796,PERMIT - RENOVATION/ALTERATION,2007-04-02T00:00:00.000,2007-06-08T00:00:00.000,3600.0,DOUGLAS BLVD,,"INSTALL ROOF-MOUNTED SOLAR HOT WATER PANELS, 750 GALLON STORAGE TANK, AND CONNECT WITH EXISTING HOT WATER SYSTEM PER PLANS.",1085.0,1085.0,,,1152577.686667201,1893259.9975887295,2007,6,8,1,0
64917,1800796,100173899,PERMIT - RENOVATION/ALTERATION,2007-04-20T00:00:00.000,2007-06-07T00:00:00.000,2312.0,ASHLAND AVE,,REBUILD EXISTING SOLARIUM DUR TO FIRE DAMAGE AND INTERIOR ALTERATIONS TO EXISTING DINING ROOM AS PER PLANS.,0.0,2632.0,,,1165225.3612083162,1915503.0794805991,2007,6,7,1,0
67215,1806439,100177066,PERMIT - RENOVATION/ALTERATION,2007-05-07T00:00:00.000,2008-03-04T00:00:00.000,5019.0,RAVENSWOOD AVE,,DECK ON TOP OF GARAGE WITH STAIR.  SOLAR SHADING INFILL. (NO ELECTRICAL),0.0,775.0,310.0,47.0,1163505.526557043,1933442.348082365,2008,3,4,1,0
68688,1810375,100179060,PERMIT - NEW CONSTRUCTION,2007-05-17T00:00:00.000,2007-07-25T00:00:00.000,3018.0,ARMITAGE AVE,,"REVISIONS TO PERMIT 100132986. SUBSTITUTE STRUCTURAL SYSTEM INCLUDING FOUNDATION, SUBSTITUTE HVAC SYSTEM, SUBSTITUTE SOLAR WARM WATER SYSTEM. PER PLANS.CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.",0.0,3322.0,,,1155724.687906877,1913172.3033331956,2007,7,25,1,0
