NAME,median_household_income,median_property_value,population_below_poverty,total_population,poverty_universe,per_capita_income,median_gross_rent,unemployed,labor_force,bachelors_degree,education_universe,state,county,tract,GEOID,poverty_rate,unemployment_rate,pct_bachelors
Census Tract 101; Cook County; Illinois,74145,340700,545,4198,4097,45573,1168,182,2923,739,3169,17,031,010100,17031010100,0.13302416402245545,0.06226479644201163,0.23319659198485326
Census Tract 102.01; Cook County; Illinois,63056,239900,1816,7361,7352,31992,1378,480,4382,584,4678,17,031,010201,17031010201,0.2470076169749728,0.10953902327704244,0.1248396750748183
Census Tract 102.02; Cook County; Illinois,53220,338000,571,2482,2194,42710,1323,147,1396,630,1985,17,031,010202,17031010202,0.26025524156791247,0.10530085959885387,0.31738035264483627
Census Tract 103; Cook County; Illinois,73105,248500,741,6477,5516,43852,1431,237,3951,1622,5375,17,031,010300,17031010300,0.13433647570703408,0.05998481397114654,0.3017674418604651
Census Tract 104; Cook County; Illinois,54083,231100,341,4545,3108,36728,1347,75,2457,1073,2671,17,031,010400,17031010400,0.10971685971685971,0.030525030525030524,0.4017222014226881
Census Tract 105.01; Cook County; Illinois,48833,400300,596,3718,3718,45408,1195,133,2768,1158,3045,17,031,010501,17031010501,0.16030123722431414,0.04804913294797688,0.38029556650246304
Census Tract 105.02; Cook County; Illinois,63125,296100,566,3286,3095,41263,1383,159,2204,847,2111,17,031,010502,17031010502,0.18287560581583198,0.0721415607985481,0.4012316437707248
Census Tract 105.03; Cook County; Illinois,32443,431800,1151,2757,2757,28555,1273,21,1518,503,1544,17,031,010503,17031010503,0.4174827711280377,0.01383399209486166,0.32577720207253885
Census Tract 106; Cook County; Illinois,72500,232100,1028,6467,6295,43955,1556,251,4444,1972,5044,17,031,010600,17031010600,0.16330420969023035,0.05648064806480648,0.3909595559080095
Census Tract 107.01; Cook County; Illinois,74813,367200,359,3478,3478,57217,1390,79,2134,947,2609,17,031,010701,17031010701,0.10322024151811386,0.037019681349578254,0.362974319662706
Census Tract 107.02; Cook County; Illinois,61724,230600,682,4739,4732,32790,1415,260,2759,1020,3034,17,031,010702,17031010702,0.1441251056635672,0.09423704240666908,0.33618984838497035
Census Tract 201; Cook County; Illinois,64904,237900,758,4159,4159,34005,1411,173,2467,677,3174,17,031,020100,17031020100,0.18225534984371244,0.07012565869477097,0.2132955261499685
Census Tract 202; Cook County; Illinois,120625,425600,378,7632,7565,45854,1398,277,3293,936,4419,17,031,020200,17031020200,0.04996695307336418,0.0841178256908594,0.21181262729124237
Census Tract 203.01; Cook County; Illinois,78385,219200,723,4978,4968,48617,1336,213,2153,1001,3468,17,031,020301,17031020301,0.14553140096618358,0.09893172317696237,0.288638985005767
Census Tract 203.02; Cook County; Illinois,71250,296300,608,5064,4722,47333,1632,242,2199,1067,3188,17,031,020302,17031020302,0.12875900042354935,0.110050022737608,0.33469259723964867
Census Tract 204; Cook County; Illinois,73790,344200,606,4363,4349,44687,1463,153,2333,987,3049,17,031,020400,17031020400,0.1393423775580593,0.06558079725675096,0.3237126926861266
Census Tract 205; Cook County; Illinois,37819,184300,2882,6625,6359,24127,1346,228,3185,801,4532,17,031,020500,17031020500,0.45321591445195786,0.07158555729984302,0.1767431597528685
Census Tract 206.01; Cook County; Illinois,64127,409300,2042,6275,6267,29833,1477,227,2710,1134,3667,17,031,020601,17031020601,0.32583373224828466,0.08376383763837639,0.3092446141259885
Census Tract 206.02; Cook County; Illinois,89663,423000,940,4790,4788,38748,1627,82,2640,1576,3355,17,031,020602,17031020602,0.19632414369256473,0.03106060606060606,0.4697466467958271
Census Tract 207.01; Cook County; Illinois,108568,459800,147,1771,1768,60896,1719,42,946,351,1344,17,031,020701,17031020701,0.0831447963800905,0.04439746300211417,0.2611607142857143
Census Tract 207.02; Cook County; Illinois,63906,225900,1229,8057,7859,27761,1441,261,3735,704,4970,17,031,020702,17031020702,0.15638121898460364,0.06987951807228916,0.14164989939637826
Census Tract 208.01; Cook County; Illinois,74931,389400,437,5332,5332,37778,1331,157,3150,1175,3917,17,031,020801,17031020801,0.08195798949737435,0.04984126984126984,0.2999744702578504
Census Tract 208.02; Cook County; Illinois,68725,450000,2056,8964,8942,22497,1500,391,3588,1321,4751,17,031,020802,17031020802,0.22992619100872289,0.10897435897435898,0.27804672700484107
Census Tract 209.01; Cook County; Illinois,56291,219900,1174,6256,6256,28005,1518,194,3288,866,3798,17,031,020901,17031020901,0.18765984654731457,0.05900243309002433,0.22801474460242233
Census Tract 209.02; Cook County; Illinois,45547,122600,864,4107,3599,26315,1323,82,1439,527,3086,17,031,020902,17031020902,0.24006668519033064,0.05698401667824878,0.17077122488658458
Census Tract 301.01; Cook County; Illinois,48929,274800,571,3515,3515,41209,1267,381,2206,1109,3089,17,031,030101,17031030101,0.1624466571834993,0.17271078875793291,0.3590158627387504
Census Tract 301.02; Cook County; Illinois,59826,232800,835,3374,3366,47653,1199,130,2269,679,2761,17,031,030102,17031030102,0.24806892453951276,0.05729396209784046,0.24592538935168418
Census Tract 301.03; Cook County; Illinois,49545,197500,373,2132,1467,46363,1268,141,1245,468,1266,17,031,030103,17031030103,0.25426039536468986,0.11325301204819277,0.3696682464454976
Census Tract 301.04; Cook County; Illinois,41823,162300,467,3612,1839,21169,1505,251,1581,389,1283,17,031,030104,17031030104,0.25394235997824904,0.15876027830487033,0.30319563522992987
Census Tract 302; Cook County; Illinois,108466,527300,865,5791,5786,72224,1588,191,3838,1687,4477,17,031,030200,17031030200,0.14949879018320084,0.04976550286607608,0.37681483136028593
Census Tract 303; Cook County; Illinois,68933,379700,463,2956,2956,52157,1124,85,1840,606,2445,17,031,030300,17031030300,0.15663058186738837,0.04619565217391304,0.24785276073619633
Census Tract 304; Cook County; Illinois,98909,437300,398,2716,2716,69586,1467,91,1819,906,2216,17,031,030400,17031030400,0.14653902798232696,0.05002748763056625,0.40884476534296027
Census Tract 305; Cook County; Illinois,127055,341000,385,6518,6384,70375,1778,176,4734,2090,5342,17,031,030500,17031030500,0.06030701754385965,0.037177862272919304,0.3912392362411082
Census Tract 306.01; Cook County; Illinois,52917,322600,689,3907,3698,35693,1228,172,2282,711,2923,17,031,030601,17031030601,0.18631692806922662,0.07537248028045573,0.24324324324324326
Census Tract 306.03; Cook County; Illinois,49674,326300,515,1996,1972,47670,1185,93,1502,608,1614,17,031,030603,17031030603,0.26115618661257606,0.061917443408788284,0.37670384138785623
Census Tract 306.04; Cook County; Illinois,51688,236400,665,3109,3109,49365,1416,73,2087,872,2572,17,031,030604,17031030604,0.21389514313284014,0.03497843794920939,0.3390357698289269
Census Tract 307.01; Cook County; Illinois,44948,271800,365,1516,1341,39124,1105,121,970,392,1307,17,031,030701,17031030701,0.2721849366144668,0.12474226804123711,0.2999234889058914
Census Tract 307.02; Cook County; Illinois,60603,197400,423,2039,2039,58249,1466,230,1328,703,1879,17,031,030702,17031030702,0.2074546346248161,0.17319277108433734,0.37413517828632253
Census Tract 307.03; Cook County; Illinois,74702,342700,642,3237,3237,53780,1387,259,2191,1065,2802,17,031,030703,17031030703,0.19833178869323448,0.1182108626198083,0.38008565310492504
Census Tract 307.06; Cook County; Illinois,52167,355400,242,2717,2717,65190,1799,154,1639,621,2455,17,031,030706,17031030706,0.08906882591093117,0.09395973154362416,0.2529531568228106
Census Tract 308; Cook County; Illinois,105585,512500,441,4610,4456,77598,1657,193,3172,1268,3682,17,031,030800,17031030800,0.09896768402154399,0.06084489281210593,0.34437805540467137
Census Tract 309; Cook County; Illinois,87485,444300,152,2818,2798,66294,1548,54,2100,868,2414,17,031,030900,17031030900,0.054324517512508934,0.025714285714285714,0.3595691797845899
Census Tract 310; Cook County; Illinois,132147,350200,267,4108,4060,82370,1726,161,3322,1597,3456,17,031,031000,17031031000,0.06576354679802955,0.048464780252859725,0.4620949074074074
Census Tract 311; Cook County; Illinois,92717,367900,481,5018,4931,67570,1444,101,4159,1424,4396,17,031,031100,17031031100,0.09754613668627053,0.024284683818225534,0.32393084622383983
Census Tract 312; Cook County; Illinois,25713,338800,1732,5298,5032,32825,1033,139,2971,1454,4541,17,031,031200,17031031200,0.3441971383147854,0.046785594076068665,0.32019378991411585
Census Tract 313; Cook County; Illinois,68942,172500,1148,6136,5747,54096,1247,150,3592,1408,5762,17,031,031300,17031031300,0.1997563946406821,0.04175946547884187,0.2443595973620271
Census Tract 314; Cook County; Illinois,93026,296300,196,4697,4467,76423,1747,54,3624,1819,4259,17,031,031400,17031031400,0.04387732258786658,0.014900662251655629,0.42709556233857715
Census Tract 315.01; Cook County; Illinois,52250,382100,2163,4792,4716,31244,1087,127,2527,869,3075,17,031,031501,17031031501,0.4586513994910941,0.050257222002374355,0.28260162601626015
Census Tract 315.02; Cook County; Illinois,49684,287900,1382,4463,4456,38270,1331,117,2627,931,3262,17,031,031502,17031031502,0.3101436265709156,0.04453749524172059,0.2854077253218884
Census Tract 317; Cook County; Illinois,79867,463300,306,5851,5754,62755,1218,215,4811,1931,4973,17,031,031700,17031031700,0.053180396246089674,0.04468925379339015,0.38829680273476774
Census Tract 318; Cook County; Illinois,82313,412800,241,1765,1765,61182,1469,113,1321,557,1366,17,031,031800,17031031800,0.13654390934844193,0.08554125662376987,0.40775988286969256
Census Tract 319; Cook County; Illinois,94107,465900,106,2489,2489,72923,1560,52,1881,880,1943,17,031,031900,17031031900,0.04258738449176376,0.02764486975013291,0.45290787442099845
Census Tract 321; Cook County; Illinois,72515,287700,1152,7442,7255,54197,1261,386,5401,2279,6234,17,031,032100,17031032100,0.1587870434183322,0.07146824662099611,0.3655758742380494
Census Tract 401; Cook County; Illinois,90952,619200,150,3987,3818,80821,1464,97,2433,1141,2985,17,031,040100,17031040100,0.0392875851231011,0.03986847513357994,0.38224455611390284
Census Tract 402.01; Cook County; Illinois,104484,464100,641,7083,7060,54354,1440,252,4837,2283,5308,17,031,040201,17031040201,0.09079320113314447,0.05209840810419682,0.43010550113036927
Census Tract 402.02; Cook County; Illinois,67832,283500,1095,7198,7019,35301,1477,276,3973,1686,5016,17,031,040202,17031040202,0.15600512893574583,0.06946891517744777,0.3361244019138756
Census Tract 403; Cook County; Illinois,78879,501300,181,2991,2894,57698,1603,156,1681,828,2162,17,031,040300,17031040300,0.06254319281271596,0.09280190362879238,0.3829787234042553
Census Tract 404.01; Cook County; Illinois,108899,445900,248,3441,3441,64792,1913,97,2072,794,2583,17,031,040401,17031040401,0.07207207207207207,0.04681467181467181,0.3073945025164537
Census Tract 404.02; Cook County; Illinois,99201,335800,694,4209,4209,78908,1729,143,3330,1718,3621,17,031,040402,17031040402,0.1648847707293894,0.042942942942942944,0.4744545705606186
Census Tract 406; Cook County; Illinois,89091,750000,160,2521,2521,85767,1747,35,1794,841,2046,17,031,040600,17031040600,0.0634668782229274,0.01950947603121516,0.41104594330400784
Census Tract 407; Cook County; Illinois,105365,391400,343,3681,3666,63754,1763,177,2618,988,2588,17,031,040700,17031040700,0.09356246590289144,0.06760886172650879,0.38176197836166925
Census Tract 408; Cook County; Illinois,114397,514400,24,1670,1664,80804,1559,40,1260,636,1364,17,031,040800,17031040800,0.014423076923076924,0.031746031746031744,0.4662756598240469
Census Tract 409; Cook County; Illinois,86359,648000,146,2267,2246,71730,1342,103,1547,768,1766,17,031,040900,17031040900,0.06500445235975066,0.06658047834518423,0.434881087202718
Census Tract 501; Cook County; Illinois,116438,627500,112,2163,2163,80992,1730,87,1621,811,1737,17,031,050100,17031050100,0.05177993527508091,0.05367057371992597,0.46689694876223375
Census Tract 502; Cook County; Illinois,133708,731500,433,5862,5862,79799,1706,105,3056,1632,3900,17,031,050200,17031050200,0.07386557488911634,0.034358638743455495,0.41846153846153844
Census Tract 503; Cook County; Illinois,151630,631700,128,2973,2967,81763,1645,21,1876,979,2205,17,031,050300,17031050300,0.043141220087630605,0.011194029850746268,0.4439909297052154
Census Tract 505; Cook County; Illinois,141563,968200,121,5221,5221,96416,1852,104,2934,1369,3404,17,031,050500,17031050500,0.023175636851177937,0.0354464894342195,0.40217391304347827
Census Tract 506; Cook County; Illinois,137083,450500,129,2375,2365,96473,1980,99,1772,1061,1960,17,031,050600,17031050600,0.05454545454545454,0.055869074492099324,0.5413265306122449
Census Tract 507; Cook County; Illinois,135653,702700,149,1470,1470,85061,1925,49,1049,620,1161,17,031,050700,17031050700,0.10136054421768707,0.04671115347950429,0.5340223944875108
Census Tract 508; Cook County; Illinois,190469,987100,28,1448,1448,77614,2370,41,831,391,841,17,031,050800,17031050800,0.019337016574585635,0.049338146811071,0.464922711058264
Census Tract 509; Cook County; Illinois,132258,856300,65,1456,1405,92671,1750,6,951,492,1083,17,031,050900,17031050900,0.046263345195729534,0.006309148264984227,0.45429362880886426
Census Tract 510; Cook County; Illinois,186458,771600,52,1641,1641,111493,1866,17,1101,540,1206,17,031,051000,17031051000,0.031687995124923825,0.015440508628519528,0.44776119402985076
Census Tract 511; Cook County; Illinois,161900,740200,153,1851,1846,83665,1610,45,1174,611,1249,17,031,051100,17031051100,0.0828819068255688,0.03833049403747871,0.489191353082466
Census Tract 512; Cook County; Illinois,176571,718800,95,1536,1486,99340,2050,60,1010,528,1142,17,031,051200,17031051200,0.0639300134589502,0.0594059405940594,0.46234676007005254
Census Tract 513; Cook County; Illinois,147386,750600,61,2810,2810,97104,1932,138,1524,842,1860,17,031,051300,17031051300,0.021708185053380784,0.09055118110236221,0.45268817204301076
Census Tract 514; Cook County; Illinois,167194,630900,159,2606,2606,89126,2118,14,1629,825,1648,17,031,051400,17031051400,0.06101304681504221,0.008594229588704727,0.5006067961165048
Census Tract 601; Cook County; Illinois,157917,667000,102,2895,2895,104763,1728,43,1927,986,2147,17,031,060100,17031060100,0.035233160621761656,0.022314478463933574,0.4592454587796926
Census Tract 602; Cook County; Illinois,85417,674300,127,2176,2176,80426,1519,91,1681,912,1831,17,031,060200,17031060200,0.058363970588235295,0.05413444378346222,0.4980884762424904
Census Tract 603; Cook County; Illinois,173125,782900,93,3057,3057,96723,1860,56,2055,1049,2304,17,031,060300,17031060300,0.03042198233562316,0.027250608272506083,0.4552951388888889
Census Tract 604; Cook County; Illinois,153625,649300,116,3533,3533,97277,1991,52,2447,1182,2490,17,031,060400,17031060400,0.03283328615907161,0.02125051082958725,0.4746987951807229
Census Tract 605; Cook County; Illinois,52143,912500,303,1329,1324,93948,-666666666,28,658,405,1012,17,031,060500,17031060500,0.22885196374622357,0.0425531914893617,0.40019762845849804
Census Tract 608; Cook County; Illinois,90174,219100,481,5413,5413,73466,1979,119,4153,1920,4555,17,031,060800,17031060800,0.08886015148716055,0.02865398507103299,0.42151481888035125
Census Tract 609; Cook County; Illinois,79016,250000,722,7283,7283,75172,1543,381,5491,2719,6366,17,031,060900,17031060900,0.09913497185225868,0.06938626843926425,0.4271127866792334
Census Tract 610; Cook County; Illinois,121332,575700,279,2284,2284,79646,2211,46,1835,784,1643,17,031,061000,17031061000,0.12215411558669002,0.025068119891008173,0.47717589774802194
Census Tract 611; Cook County; Illinois,117330,608700,78,1368,1368,85993,1950,11,1134,523,975,17,031,061100,17031061100,0.05701754385964912,0.009700176366843033,0.5364102564102564
Census Tract 612; Cook County; Illinois,122857,851300,73,1954,1946,83484,2071,6,1458,725,1375,17,031,061200,17031061200,0.03751284686536485,0.00411522633744856,0.5272727272727272
Census Tract 615; Cook County; Illinois,128958,708300,181,1811,1801,92402,1909,15,1230,727,1343,17,031,061500,17031061500,0.10049972237645752,0.012195121951219513,0.54132539091586
Census Tract 618; Cook County; Illinois,85139,479100,103,1152,1065,64307,1642,82,991,553,998,17,031,061800,17031061800,0.09671361502347418,0.08274470232088799,0.5541082164328658
